name,Location,Date,Fatalities,Regugees,Narrative/Notes,Source,Overflow,lon,lat
Election riot,"Eufaula, Alabama",11-Mar-1874,7+,"1,000 Republicans driven from the polls by paramilitary violence",Political Violence. Riot led by the White League. 70+ injured. Part of a white supremacist coup d'etat in Barbour County.,https://goo.gl/olGrL9,,-85.1589396,31.90546
Colfax Massacre,"Colfax, Louisiana",13-Apr-1873,60-150,unknown,"Racial and Political Violence: ""In Colfax, La., on Easter Sunday 1873, a mob of white insurgents, including ex-Confederate and Union soldiers, led an assault on the Grant Parish Courthouse, the center of civic life in the community, which was occupied and surrounded -- and defended -- by black citizens determined to safeguard the results of the state's most recent election. They, too, were armed, but they did not have the ammunition to outlast their foes, who, outflanking them, proceeded to mow down dozens of the courthouse's black defenders, even when they surrendered their weapons. The legal ramifications were as horrifying as the violence -- and certainly more enduring; in an altogether different kind of massacre, United States v. Cruikshank (1876), the U.S. Supreme Court tossed prosecutors' charges against the killers in favor of severely limiting the federal government's role in protecting the emancipated from racial targeting, especially at the hands of the Ku Klux Klan.""",http://goo.gl/qrZp1r,,-92.7068037,31.5194077
Hunterdon railroad riot,"Hunterdon, New Jersey",18-Oct-1872,"4",Unknown,Labour violence between Irish and black railroad labourers.,http://goo.gl/2Zfytd,,-74.9261552,40.5770634
Patenburg Massacre,"Musconetcong Mountain, Hunterdon County, New Jersey",21-Sep-1872,4+,150+,"The white laborers appear to have drank a good deal of whisky; whether the Negroes did is not known. Late in the evening a party of the latter went to the village on a serenading expedition, and on their return fell in with a party of Irish laborers, by whom they were violently assaulted. They succeeded in driving off their assailants, and retired to their own quarters.

The negroes immediately collected reinforcements, and, to the number of fifteen or twenty, advanced toward the scene of the first conflict. They were met near the same spot by a still larger party of Irishmen, armed with pistols and clubs, and, after a sharp fight, were discomfited, cut off from their quarters, and forced back to Mrs. Carter’s farm. Here they obtained further help, and then endeavored to save the cabins of the first party, which had been already attacked by their assailants. The Irish, better armed and more numerous, fired upon them across a deep cut and drove them off. The abandoned cabins were pillaged, and the money which the poor fellows had received the day before, and which was mostly deposited in sachels left in the quarters, was stolen. The Irishmen then fired the cabins, and immediately got into a row among themselves, during which one of the number, named Colls, was killed, and his body left near the cabins.

During the night the Irishmen collected reinforcements, and next morning renewed the fight. By spreading the report that Colls had been murdered by the negroes, they roused their countrymen to the utmost frenzy, and a party of about 150 made an attack on the Negroes on Mrs. Carter’s farm just at daybreak.

Roused from sleep by the firing, the poor fellows fled in terror and confusion, closely pursued by the infuriated Irishmen. One of the negroes, Denis Powell, was shot, and left dying by the road. A portion of the fugitives sought refuge in the out-buildings around Mrs. Carter’s house, under the porch, and elsewhere about the premises. The Irish demanded admission to the house, and when the brave woman refused, they beat in the door. Just at that moment a poor old Negro was discovered crouching under the porch. He was immediately shot, dragged out, and beaten to death with clubs. After searching the premises, and finding no one, they retired. On their way back they found Powell still alive, and falling upon him, beat out his brains with clubs and stones. Spying another fugitive, Oscar Bruce, in the act of climbing a fence, they shot him down, and then, jumping upon his prostrate form, stamped it and beat it with clubs until it was unrecognizable as the remains of a human being.

(more info: http://chroniclingamerica.loc.gov/lccn/sn83030272/1872-09-28/ed-1/seq-1/#date1=1836&index=3&rows=20&words=PATENBURG+Patenburg&searchType=basic&sequence=0&state=&date2=1922&proxtext=%22patenburg%22&y=0&x=0&dateFilterType=yearRange&page=1)",http://blackhistory.harpweek.com/7Illustrations/Reconstruction/PatenburgMassacre.htm,,-75.00962,40.65843
Frankfort Election Day Riots,"Frankfort, Kentucky",7-Aug-1871,2+,Unknown,Riot on occasion of 2nd year of Afro-American voting,http://goo.gl/o39ucN,,-84.8732836,38.2009055
African American Church and School Destroyed,"Madison County, Tennessee",5-Jun-1871,"0",Unknown,The Klan destroyed an African American Church and School in Madison County by setting them on fire.,http://nwspprs.com/1rro2,,-88.852119,35.6055887
Meridian Massacre,"Meridian, Mississippi",3-Jun-1871,"30",unknown,"Racial and Political Violence (KKK): ""No single event of Mississippi's Reconstruction era was more notorious than the Klan-led riot at Meridian, in March 1871. The two-day pogrom enraged Republicans, guaranteed passage of anti-Klan legislation in Congress, and thereby set the stage for a new phase in the guerrilla war to rescue white supremacy.""",https://goo.gl/2Owy3M,,-88.703656,32.3643098
Chester Riot,"Chester County, South Carolina",3-Apr-1871,Unknown,Unknown,"The Ku Klux Klan formed in South Carolina shortly after the Constitutional Convention of 1868.  Chester County was a hotbed of Klan activity throughout the early 1870s, as Klansmen acted as the “terrorist arm of the Democratic party” and performed countless acts of intimidation and violence to prevent African Americans from exercising their political rights.  The most notable incident was the Chester Riot of 1871, where Klansmen and African American militia exchanged gunfire near a rail depot in Rock Hill. Following several days of battle, both sides agreed to a temporary truce.  Governor Scott responded to the incident by ordering all militia companies in the vicinity disarmed, which effectively removed any opposition to Klan activity.
","http://www.screconstruction.org/Reconstruction/Sites_of_violence/Entries/1871/3/4_Chester_Riot.html
",,-81.1545073,34.6859896
White 'teacher' whipped by Klan,"Fitchburg, Kentucky ",18-Mar-1871,"0","0","Mr. Wheeler, thought by the Klan to be a teacher of African Americans, was abducted and whipped and warned to never teach AAs or set up a school for them. ",http://nwspprs.com/1rrse,,-83.8518636,37.732583
The KKK ban black schools,"Walton County, Georgia",3-Jan-1871,"0",Unknown,"The KKK ban black schools and publicly burn one teacher's collection of school books. They dared ""any other n****r to have a book in his house.""",https://goo.gl/rMYgLY,,-83.740416,33.762884
Eutaw Riots,"Eutaw, Alabama",25-Oct-1870,unknown,unknown,"Racial and Political Violence: ""The predominately black population of Greene County and white Republicans had already experienced many acts of violence by Ku Klux Klan night riders. The November, 1870 gubernatorial election became a focal point for racial and political tensions. Although federal troops were stationed near Eutaw, they did not stop political violence. Violence scared away black voters from the polls, thus contributing to the Democratic victory.""",https://goo.gl/N8FZhv,,-87.8875144,32.8406848
Laurens County Riot,"Laurens, South Carolina",20-Oct-1870,"7",unknown,"Racial and Political Violence; battle between white and black militias. ""On the day after the fall elections of 1870 armed whites and black militia met in a brief engagement in the town of Laurensville (now Laurens).  Following the encounter whites [circa 2,500] from surrounding areas descended on the town and by the next morning at least seven Republicans were dead (six black, one white) and two white Democrats were wounded. """,http://goo.gl/tkojKk,,-82.0156362,34.4989248
St. Bernard Parish Riots,"St. Bernard Parish, New Orleans, Louisiana",25-Oct-1868,"37",unknown,"Despite organised resistance by Freedmen, they were overwhelmed by the sheer numbers of white attackers. ""During the entire days of Monday and Tuesday- the 26th and 27th, Oct., parties of armed white men… roamed over many plantations of the Parish, shooting and knocking down, and otherwise maltreating freedpeople, driving them pell-mell from their cabins, seizing guns, pistols, knives, -destroying Registration Papers… in short taking everything they could appropriate to their own use.""",https://goo.gl/8wrd7c,,-90.080103,29.936778
"Assassination of B.F. Randolph
","Hodge’s Depot, Abbeville, South Carolina",16-Oct-1868,"2","0 - Negative political impact – Democratic Party intimidated African American voters
","On October 16, 1868, three white men shot B.F. Randolph, a Methodist clergyman and state senator from Orangeburg, as he changed trains at Hodge’s Depot in Abbeville, South Carolina.  In the hearings that followed, one of Randolph’s assassins admitted that prominent Abbeville citizens had paid the trio to kill another prominent Republican, James Martin, a few weeks earlier.
","http://www.screconstruction.org/Reconstruction/Sites_of_violence/Entries/1868/10/16_Assassination_of_B.F._Randolph_(Hodges_Depot).html
",,-82.377872,34.172779
Opelousas Massacre,"Opelousas, Louisiana",28-Sep-1868,100-300,unknown,"""The Opelousas massacre occurred in St. Landry Parish, Louisiana, on September 28, 1868. It centered around Emerson Bentley, a white editor for a local newspaper called The Landry Progress and an influential schoolteacher who promoted the education of black children. Bentley wrote an article that local members of the Seymour Knights, a branch unit of the white supremacist group The Knights of the White Camellia, deemed offensive. The backlash to the article led three men to take the attempt to intimidate and severely cane Bentley, causing him to flee St. Landry. Local blacks were told that Bentley had been murdered and banded together to retaliate. While marching towards Opelousas with arms in hand, efforts were made to inform the freedmen that Bentley had not been murdered but escaped; causing some of the men to retreat, while others continued to march.

The freedmen were met by armed whites determined to defend their town. Shooting occurred by both sides and twenty-nine black prisoners were captured. On September 29, all of the captured prisoners, with the exception of two men, were taken from the prison and executed. The violence at Opelousas continued for weeks to come. The death toll of the massacre resulted in some controversy. Three white Radical Republicans and two Democrats were killed in the assault. Republicans stated that around 200-300 blacks where killed whereas the Democrats denied this claim as fraudulent and stated that only twenty-five to thirty were killed. Historians today have deduced that the Republicans were more correct in their number range.""",http://goo.gl/3w3ty8,,-92.081509,30.5335302
Camilla Massacre,"Camilla, Georgia",19-Sep-1868,"12",unknown,"""The Sheriff's men spent the rest of that day and several days following systematically pursuing the freedmen through the countryside as many as five miles from town and wounding or killing them as they tried to escape.""",http://goo.gl/CQbiVQ,,-84.2103726,31.2312887
Murder of Bill Mitchell,"North Island, Georgetown County, South Carolina
",4-Sep-1868,"1","0 - Negative political impact – Democratic Party intimidated African American voters
","W.H. Jones, a Black member of the South Carolina General Assembly, spoke for two hours in front of the home of Joseph H. Rainey, “Radical nominee for Congress.”  He stated that the Union Reform party was organized and were plotting to assassinate him.  He told those in attendance that an attempt on his life had been made “on the day of the fire” by two men in blackface, armed with daggers.  They failed because he had left his home to put out the fire.  He explains that the Democratic Party was behind the attempt on his life; Jones explained that on April 9, 1868, “Morse” murdered Bill Mitchell, a colored pilot, on North Island at the behest of Democratic Party officials for his support of the Republicans.","“Scott’s Rifle Tactics,” The Charleston Daily News, August 29, 1870
",,-79.1886581,33.2901669
"Millican ""Riot""","Millican, Texas",19-Aug-1868,2-100,Unknown,"The Millican Race Riot of 1868 was arguably largest “race riot” in Texas.

""The conflict occurred in Millican, Texas, a town located 15 miles from the Texas A&M University campus.

Details remain unclear, but we believe that the Klan marched through Millican, a small central Texas town on the Houston and Central Texas Railroad, on during a Sunday church service led by Pastor George Brooks, a local Methodist preacher, former Union soldier, and Union League organizer. The worshiping armed freedmen fired on the rally, driving the Klan out of town. After the rally, George Brooks began a black militia of about 200 townspeople. The white community asked Nathan H. Randlett, local agent of the Freeman’s Bureau and former union infantry Captain, to stop the militia action, but Randlett refused.

Several confrontations occurred including the rumors of attempted lynchings. Some papers report that Miles Brown, a freedman, was rumored to be lynched, others that Andrew (or his brother William) Halliday or Holiday, a white son of a former large plantation owner, the target due to his supposed lynching of Brown. Several confrontations occurred including a march on the larger county seat of Bryan by a large group of armed blacks, which ended in an armed assault on the local black community and deaths of numerous black women, children, and men. Brooks was apparently tortured and killed. It is unclear if his body was recovered.

Apparently the local authorities called for a militia to be formed in Bryan and sent by train to put down the “mob.” Newspapers describe the militia as being taken from the bars and brothels in the middle of the day. Newspapers also report that the black militia surrounded the local black community, patrolling the edges of the area to protect the citizens.""",https://millican.omeka.net/about,,-96.2024593,30.4685377
Assassination of Solomon Washington Dill,"Camden, South Carolina",7-Apr-1868,"2","0 - Negative political impact – Democratic Party intimidated African American voters
","Solomon George Washington Dill was a native of Kershaw, South Carolina and an active member of the Republican Party in the early days of Reconstruction.  After serving as a delegate to the state Constitutional Convention of 1868, Dill won a seat in the SC House of Representatives in April of that same year.  After serving only a few months in office, Dill was induced to run for county commissioner.  During the campaign, Dill suffered much abuse in the local press and received several threats on his life.  As a result, he asked several close friends to stand guard at his home on nights leading up to the June elections.  On the evening of June 4, 1868, however, the Dill homestead was left unguarded.  Eleven men crept quietly towards the home; Four of these men stopped along the road to ambush any of the legislator’s allies who might have come to his defense.  The remaining seven men reached Dill’s house and killed the legislator and Nester Ellison, an elderly man who kept watch over the home.  Dill’s wife was reportedly wounded. Whether she died is unknown. Over twenty individuals were arrested by military authorities in connection with the crime but despite a large amount of circumstantial evidence and witness testimony, none were convicted. Democratic Party officials continued such acts of intimidation to scare African Americans out of voting Republican.
","http://www.screconstruction.org/Reconstruction/Sites_of_violence/Entries/1868/6/4_Assassination_of_Solomon_Washington_Dill.html
",,-80.6070391,34.2464886
Pulaski Riot,"Pulaski, Tennessee",1-Jul-1867,"2",unknown,Pulaski is birthplace of Ku Klux Klan. Date unverified.,http://goo.gl/lT8EVN,,-87.0308412,35.1998023
"""Pig Iron"" Kelley Riot","Mobile, Alabama",14-May-1867,Unknown,unknown,"""Many killed and wounded""; triggered by black speakers and crowd angering local whites.",https://goo.gl/fpDG5w,,-88.0430541,30.6943566
Disenfranchisement whippings,"Raleigh, North Carolina",16-Jan-1867,"0",Unknown,"Systematic disenfranchisement of hundreds of African Americans via public torture. They were stripped of their vote due to a public whipping law which ""disqualified in advance"" their right to vote. Many publicly whipped for minor offences. Punishment did not apply to white people. Date listed of newspaper not event. Occurred during December 1866. See ""Living in Infamy"" by Pippa Holloway.",http://nwspprs.com/1j941,,-78.6390989,35.7803977
New Orleans Massacre,"New Orleans, Louisiana",30-Jul-1866,"38",unknown,"""During a break in the [Louisiana Constitutional] Convention, violence broke out between armed white supremacists and African Americans marching in support of suffrage - and the African Americans were not prepared for the fight. Unarmed African Americans were attacked and murdered, and many law enforcement officials perpetrated the crimes.""",http://goo.gl/XiGwFO,,-90.0701156,29.9499323
Norfolk race riot,"Norfolk, Virginia",16-Apr-1866,Unknown,Unknown,"Started by attack on Black parade to celebrate veto of Civil Rights Act. White mob dressed in Confederate gray patrolled the streets. Captain Stanhope wanted the town placed under martial law because ""the city authorithies are powerless",https://goo.gl/zdc1wp,,-76.2929252,36.8462923
Gallatin County race riot,"Warsaw, Gallatin County, Kentucky",8-Jan-1866,unknown,200+,"""A band of five hundred whites in Gallatin County... forced hundreds of blacks to flee across the Ohio River...[they were seen] whipping Blacks, stealing their property, and ordering them to leave the area.""",http://goo.gl/MSjJXQ,,-84.9016151,38.7833963
Memphis riots,"Memphis, Tennessee",5-Jan-1866,46+,"1,000+","The Irish dominated police force led the pogrom after a prior altercation with some black Union soldiers who were stationed in the city. Black homes, schools and churches were destroyed. Particularly savage murders and rapes occurred.  ""In all parts of the city, wherever they could be seen, negroes were fired upon by policemen as well as citizens. They were shot while driving hacks, and quietly walking in the streets about their business. The police seemed to make it their special business to shoot every negro they could see, no matter where he was or what he was doing.""",http://goo.gl/9RCjuE,,-90.0516285,35.1490215
Alexandria Christmas Day Riot,"Alexandria, Virginia",25-Dec-1865,Unknown,Unknown,"Started by ex-Confederate soldiers. ""They then proceeded to attack such negroes as came in their way, and, but for the intervention of the military, scenes similar to those in the New York drafting riot would have ensued.""",http://goo.gl/Pj5Kil,,-77.0470229,38.8051095
Richmond church attack,"Richmond, Virginia",24-Nov-1865,"0",Unknown,Started by attack on baptism ceremony,http://goo.gl/vzaYZ4,,-77.43428,37.5385087
Detroit Draft Riots,"Detroit, Michigan",6-Aug-1863,"2",unknown,"Dozens injured; 35 buildings burned down",https://goo.gl/pPim4L,,-83.0466403,42.3315509
New York Draft Riots,"Fifth Avenue, New York",13-Jul-1863,"11","1,000+",White Mobs attacked and burned homes and businesses of African Americans. They also attacked the homes of white abolitionists and completely destroyed the Coloured Orphan Asylum on 44th Street. This white working-class violence changed the demographics of the city as hundreds of black families fled the city.,http://goo.gl/MBVg8m,,-73.9527343,42.7976632
Georgetown Riot,"Georgetown, South Carolina",26-Jul-1862,Unknown,Unknown,"On Friday, July 26, an unknown person attempted to set fire to an African American neighborhood in Georgetown.  The following evening, a tar barrel was set afire near the home of George Holland, a resident of unknown racial background. It seems that he was African American, however, because two black volunteer fire companies arrived to put out the blaze.  Later in the evening, “the cry of fire was raised almost simultaneously in a dozen different parts of the town.” A schoolhouse belonging to Mrs. Small was among the buildings razed to the ground.  Two of the fire companies that attempted to put out the blaze, the Heston and Star and Salamander, clashed openly in the streets.  There were no reported deaths but several of the volunteer firemen were badly beaten and stabbed.","“Radical Riots in Georgetown,” Charleston Daily News, July 29, 1872
",,-79.2944965,33.376834
Federal Hill riot,"Federal Hill, Baltimore, Maryland",1-May-1858,"1",Unknown,"""Two dozen whites organized to drive off black workers from the two Federal Hill brickyards."" One African American worker was shot to death and the fallout was that many African Americans were afraid to return to work.",https://goo.gl/5dLal5,,-76.6106687,39.2791922
New Richmond flogging,"New Richmond, Ohio",10-Jul-1854,"0",One Family,"A fight between white and black children led to an entire African American family being jailed. A white mob then took them from the jail, brought them to Kentucky, whipped them all and warned them never to return. The occurred sometime in the week of 10th July 1854, not an exact date.",http://goo.gl/4B7h2H,,-84.2799366,38.9486757
California House Race Riot,"Philadelphia, Pennsylvania",9-Oct-1849,"3",unknown,"Post-Election violence in which Whigs & Nativists were termed pro-abolition and pro-Negro, while Democrats were pro-slavery and pro-Catholic; night after election, white gang attacked black district, burning and looting, including the California House where African-Americans resided. Militia needed to restore order; inspiration for George Lippard's famous novel, The Killers: A Narrative of Real Life Philadelphia.",http://goo.gl/BSjxAX,,-75.1635262,39.9527237
Lombard Street Riot,"Philadelphia, Pennsylvania",1-Aug-1842,Unknown,unknown,"Black Abolitionist Parade attacked; AA church and homes burned.",http://goo.gl/VwUtTd,,-75.1635262,39.9527237
Cincinnati riots (1841),"Cincinnati, Ohio",3-Sep-1841,Unknown,Unknown,"This anti-black riot involved the use of a 6-pound cannon being fire at their community by a white mob. Blacks were ""assaulted wherever found in the streets, and with such weapons and violence as to cause death.""",https://goo.gl/VTjYAb,,-84.5124602,39.1014537
Burning of Pennsylvania Hall,"Philadelphia, Pennsylvania",17-May-1838,Unknown,unknown,"Black and white abolitionists attacked; meeting hall burned down by mob; black orphanage and church attacked in following days.",http://goo.gl/pbJwMU,,-75.1635262,39.9527237
Cincinnati riots (1836),"Cincinnati, Ohio",1-Jul-1836,Unknown,Unknown,Influenced Harriet Beecher Stowe after she talked to some of the refugees fleeing the violence,http://goo.gl/4v6ABL,,-84.5124602,39.1014537
Noyes Academy Riot,"Canaan, New Hampshire",10-Aug-1835,"0",unknown,"Mob of 500 whites use 95 oxen to tear down integrated abolitionist school, Noyes Academy",http://goo.gl/dwzb6P,http://www.dartmouth.edu/dartlife/archives/15-5/noyes.html,-72.013321,43.647007
Farren Riots / Anti-Abolitionist Riot,"New York, New York",9-Jul-1834,none,unknown,"Black residences, churches, meeting halls, and businesses destroyed",http://goo.gl/6YOXq5,,-74.0060152,40.7127281
Flying Horse Riot,"Philadelphia, Pennsylvania",12-May-1834,"1",unknown,"Black churches, homes, looted and destroyed; Rioters called it ""Hunting the Nigs""",http://goo.gl/4W9YMl,,-75.1635262,39.9527237
Snowtown Riots,"Providence, Rhode Island",21-Sep-1831,4+,Unknown,4 white rioters killed by militia.,https://goo.gl/hVMXsn,,-71.4128343,41.8239891
Railroad riot,"New Market, Maryland",19-Aug-1831,2+,Unknown,Serious altercation between Irish labourers and African American labourers. Massive riot. African American appear to have been the defensive part and they retreated into the town for shelter. 20 of the ringleaders (Irish) are arrested. But later that day a mob of 400 Irishmen marched into town and demanded their release. The mob were eventually subdued by a priest who looking to avert further violence paid the bail for the prisoners and hemarched the mob back to their homes.,http://nwspprs.com/1nqvp,,-77.2733519,39.3814276
Cincinnati riots (1829),"Cincinnati, Ohio",7-Jan-1829,Unknown,"1,200+","Labour competition. Irish migrants ""started to attack blacks and destroy their property, wanting to push them out of the city""",http://goo.gl/woHkXG,,-84.5124602,39.1014537
